keys,en,ru
ACCESS_HIGH_CONTRAST,High contrast,Высокий контраст
ACCESS_LANGUAGE,Language,Язык
ACCESS_LARGE_UI,Large interface,Крупный интерфейс
ACCESS_REDUCED_FLASHES,Reduce flashes,Уменьшить мерцание
ADMIN_CLOSE,CLOSE · F9,ЗАКРЫТЬ · F9
ADMIN_DESC_ASCENT,"Climb the ledges: checkpoints, moving tiles, fog","Подъём по уступам: контрольные точки, движущиеся плиты, туман"
ADMIN_DESC_ECHO,Memorize and repeat the sequence of column flashes,Запомните и повторите последовательность вспышек колонн
ADMIN_DESC_GLASS,Cross the bridge: one tile in every row is a phantom,Пройдите мост: в каждом ряду одна плита — фантом
ADMIN_DESC_GRAVITY,"Three anchors turn gravity: floor, wall, depth","Три якоря поворачивают гравитацию: пол, стена, глубина"
ADMIN_DESC_MIRROR,Find 3 defective reflections. 3 mistakes — the hall reshuffles,Найдите 3 дефектных отражения. 3 ошибки — зал перестроится
ADMIN_DESC_RADIATION,Set the monoliths into their sockets and tune the frequencies,Расставьте монолиты по гнёздам и настройте частоты
ADMIN_DESC_SCRAP,Carry 3 valuables to the extraction point past the scanner drone,Вынесите 3 ценности к точке извлечения мимо дрона-сканера
ADMIN_DESC_TEMPORAL,Record three of your time echoes on the plates,Запишите три своих временных эха на плитах
ADMIN_DESC_VOID,"Total darkness: paint the world with the lidar (LMB), avoid the monster","Полная тьма: рисуйте мир лидаром (ЛКМ), избегайте монстра"
ADMIN_DESC_YELLOW,"Yellow halls: collect the tapes, don't get caught by the Wanderer","Жёлтые залы: соберите плёнки, не попадитесь Блуждающему"
ADMIN_NOTE,Test mode: once you clear it you return to the museum with no consequences.,Режим теста: после прохождения вы вернётесь в музей без последствий.
ADMIN_SUBTITLE,Pick a rift — you drop inside instantly. Night progress and saves are left untouched.,Выберите разлом — вы окажетесь внутри мгновенно. Прогресс ночи и сохранения не изменяются.
ADMIN_TEST_DONE,TEST COMPLETE · F9 — pick the next dimension,ТЕСТ ЗАВЕРШЁН · F9 — выбрать следующее измерение
ADMIN_TEST_PREFIX,TEST: %s,ТЕСТ: %s
ADMIN_TITLE,SERVICE CONSOLE · DIMENSION TEST,СЛУЖЕБНАЯ КОНСОЛЬ · ТЕСТ ИЗМЕРЕНИЙ
ANOMALY_ASCENT_TITLE,VERTICAL RIFT,ВЕРТИКАЛЬНЫЙ РАЗЛОМ
ANOMALY_ECHO_TITLE,RESONANT ECHO,РЕЗОНАНСНОЕ ЭХО
ANOMALY_GLASS_TITLE,PHASE COLLAPSE,ФАЗОВЫЙ ПРОВАЛ
ANOMALY_GRAVITY_TITLE,GRAVITY SURGE,ГРАВИТАЦИОННЫЙ СКАЧОК
ANOMALY_MIRROR_TITLE,MIRROR RIFT,ЗЕРКАЛЬНЫЙ РАЗЛОМ
ANOMALY_RADIATION_TITLE,RADIATION BLOOM,РАДИАЦИОННОЕ ЦВЕТЕНИЕ
ANOMALY_SCRAP_TITLE,ASSET SEIZURE,ИЗЪЯТИЕ ЦЕННОСТЕЙ
ANOMALY_TEMPORAL_TITLE,TEMPORAL DRIFT,ВРЕМЕННОЙ СДВИГ
ANOMALY_UNKNOWN,UNKNOWN ANOMALY,НЕИЗВЕСТНАЯ АНОМАЛИЯ
ANOMALY_VOID_TITLE,VOID RIFT,РАЗРЫВ ПУСТОТЫ
ANOMALY_YELLOW_TITLE,YELLOW LIMIT,ЖЁЛТЫЙ ПРЕДЕЛ
CAM_ACCESS_OFFICE_ONLY,CCTV access is only available from the security office.,Доступ к CCTV возможен только из офиса охраны.
CAM_ATRIUM_EAST,Atrium — East,Атриум — восток
CAM_ATRIUM_WEST,Atrium — West,Атриум — запад
CAM_BASEMENT_LIFT,Atrium — Power Panel,Атриум — электрощит
CAM_ENTRANCE,Entrance,Вход
CAM_HINT_CONTROLS,"TAB / Y — exit  |  arrows / right stick — camera  |  , . / LT / RT — switch feed  |  F / RB — floodlight","TAB / Y — выйти  |  стрелки / правый стик — камера  |  , . / LT / RT — смена камеры  |  F / RB — прожектор"
CAM_PLANETARIUM,Planetarium,Планетарий
CAM_RESTORATION,Restoration Room,Реставрационная
CAM_ROOM_ARCHIVE,Archive,Архив
CAM_ROOM_ATRIUM,Atrium,Атриум
CAM_ROOM_LAB,Lab,Реставрационная
CAM_ROOM_OFFICE,Office,Офис
CAM_ROOM_STORAGE,Storage,Склад
CAM_ROOM_WING_A,Wing A,Крыло A
CAM_ROOM_WING_B,Wing B,Крыло B
CAM_ROOM_WING_C,Wing C,Крыло C
CAM_ROOM_WING_D,Wing D,Крыло D
CAM_WATCH_POST,Observer Post,Пост наблюдателя
CAM_WING_A_GRAVITY,Wing A — Gravity,Крыло A — гравитация
CAM_WING_B_TIME,Wing B — Time,Крыло B — время
CAM_WING_C_DOOR,Wing C — Space,Крыло C — космос
CAM_WING_D_MASS,Wing D — Mass,Крыло D — масса
COMPASS_BEARING,%s · %d m,%s · %d м
COMPASS_CAPTION_HEADING,OBJECTIVE,ЦЕЛЬ
COMPASS_CAPTION_POSITION,POSITION,ПОЛОЖЕНИЕ
COMPASS_LEGEND_YOU,you,вы
COMPASS_MAP_HINT,M — hold for the floor plan,M — удерживать: план этажа
COMPASS_MAP_TITLE,FLOOR PLAN,ПЛАН ЭТАЖА
COMPASS_ROOM_STALE,%s — last fix,%s — последняя отметка
COMPASS_ROOM_UNKNOWN,Off the floor plan,Вне плана этажа
COMPASS_SIGNAL_LOST,WAYFINDING NET DOWN,СЕТЬ НАВИГАЦИИ: НЕТ СВЯЗИ
COMPASS_SIGNAL_WEAK,WAYFINDING NET DEGRADED,СЕТЬ НАВИГАЦИИ: ПОМЕХИ
EXHIBIT_BROKEN_CLOCK,Broken Clock,Сломанные часы
EXHIBIT_CENTRAL_CORE,the central core,центральное ядро
EXHIBIT_CLOAKROOM,CLOAKROOM · SEARCH,ГАРДЕРОБ · ДОСМОТР
EXHIBIT_CONTAINMENT_CORE,CONTAINMENT CORE,ЦЕНТР СДЕРЖИВАНИЯ
EXHIBIT_DENSE_INGOT,Dense Ingot,Плотный слиток
EXHIBIT_ENDLESS_HOURGLASS,Endless Hourglass,Бесконечные песочные часы
EXHIBIT_FALLING_CUBE,Falling Cube,Падающий куб
EXHIBIT_FIRST_FALL,The First Fall,Первое падение
EXHIBIT_FROZEN_DROP,Frozen Drop,Замороженная капля
EXHIBIT_HOVER_STONES,Hovering Stones,Парящие камни
EXHIBIT_INVERSION_ROOM,Inversion Room,Инверсионная камера
EXHIBIT_IRON_METEORITE,Iron Meteorite,Железный метеорит
